Context,Mol_L,Frag_L,Mol_R,Frag_R,Radius
[*]CCN1Cc2ccc(/C=C/C(=O)NO)cc2C1,O=C(/C=C/c1ccc2c(c1)CN(CCc1cnn3ccccc13)C2)NO,[cH2][cH][n]1[n][cH][c]([CH3])[c]1[cH2],Cc1[nH]c2ccccc2c1CCN1Cc2ccc(/C=C/C(=O)NO)cc2C1,[H][n]1[c]([CH3])[c]([CH3])[c]([cH2])[c]1[cH][cH2],2
[*]CCN1Cc2ccc(/C=C/C(=O)NO)cc2C1,O=C(/C=C/c1ccc2c(c1)CN(CCc1cnn3ccccc13)C2)NO,[cH2][n]1[cH][cH][cH][n]1,Cc1[nH]c2ccccc2c1CCN1Cc2ccc(/C=C/C(=O)NO)cc2C1,[H][n]1[c]([CH3])[cH][cH][c]1[cH2],1
[*]Nc1cccc(CCN2CCN(c3cccc4nc(C)ccc43)CC2)c1,Cc1ccc2c(cccc2N2CCN(CCc3cccc(NC(=O)c4ccccc4)c3)CC2)n1,[cH2][cH][c]([cH][cH2])[NH][C](=[O])[c]1[cH][cH][cH][cH][cH]1,Cc1ccc2c(cccc2N2CCN(CCc3cccc(NS(C)(=O)=O)c3)CC2)n1,[cH2][cH][c]([cH][cH2])[NH][S]([CH3])(=[O])=[O],4
[*]Nc1cccc(CCN2CCN(c3cccc4nc(C)ccc43)CC2)c1,Cc1ccc2c(cccc2N2CCN(CCc3cccc(NC(=O)c4ccccc4)c3)CC2)n1,[cH2][c]([cH2])[NH][C](=[O])[c]1[cH][cH][cH][cH][cH]1,Cc1ccc2c(cccc2N2CCN(CCc3cccc(NS(C)(=O)=O)c3)CC2)n1,[cH2][c]([cH2])[NH][S]([CH3])(=[O])=[O],3
[*]Nc1cccc(CCN2CCN(c3cccc4nc(C)ccc43)CC2)c1,Cc1ccc2c(cccc2N2CCN(CCc3cccc(NC(=O)c4ccccc4)c3)CC2)n1,[cH3][NH][C](=[O])[c]1[cH][cH][cH][cH][cH]1,Cc1ccc2c(cccc2N2CCN(CCc3cccc(NS(C)(=O)=O)c3)CC2)n1,[cH3][NH][S]([CH3])(=[O])=[O],2
[*]Nc1cccc(CCN2CCN(c3cccc4nc(C)ccc43)CC2)c1,Cc1ccc2c(cccc2N2CCN(CCc3cccc(NC(=O)c4ccccc4)c3)CC2)n1,[NH2][C](=[O])[c]1[cH][cH][cH][cH][cH]1,Cc1ccc2c(cccc2N2CCN(CCc3cccc(NS(C)(=O)=O)c3)CC2)n1,[CH3][S]([NH2])(=[O])=[O],1
[*]C=Cc1ccc(-n2cnc(C)c2)c(OC)c1,COc1cc(/C=C/c2nc(N)nc(Nc3ccccc3)n2)ccc1-n1cnc(C)c1,[cH3]/[CH]=[CH]/[c]1[n][c]([NH2])[n][c]([NH][c]2[cH][cH][cH][cH][cH]2)[n]1,COc1cc(/C=C/c2nc3ccccc3c(=O)n2C)ccc1-n1cnc(C)c1,[cH3]/[CH]=[CH]/[c]1[n][c]2[cH][cH][cH][cH][c]2[c](=[O])[n]1[CH3],4
[*]C=Cc1ccc(-n2cnc(C)c2)c(OC)c1,COc1cc(/C=C/c2nc(N)nc(Nc3ccccc3)n2)ccc1-n1cnc(C)c1,[CH3][c]1[n][c]([NH2])[n][c]([NH][c]2[cH][cH][cH][cH][cH]2)[n]1,COc1cc(/C=C/c2nc3ccccc3c(=O)n2C)ccc1-n1cnc(C)c1,[CH3][c]1[n][c]2[cH][cH][cH][cH][c]2[c](=[O])[n]1[CH3],2
[*]C=Cc1ccc(-n2cnc(C)c2)c(OC)c1,COc1cc(/C=C/c2nc(N)nc(Nc3ccccc3)n2)ccc1-n1cnc(C)c1,[cH2][n][c]([NH2])[n][cH][NH][c]1[cH][cH][cH][cH][cH]1,COc1cc(/C=C/c2nc3ccccc3c(=O)n2C)ccc1-n1cnc(C)c1,[cH2][n]([CH3])[c](=[O])[c]1[cH][cH][cH][cH][cH]1,1
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3nc4ccccc4s3)ccc2c1,[cH2][cH][c]([n][cH2])-[c]1[n][c]2[cH][cH][cH][cH][c]2[s]1,Cc1nc(N2CCCC2)ncc1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,[cH2][cH][c]([n][cH2])-[c]1[cH][n][c]([N]2[CH2][CH2][CH2][CH2]2)[n][c]1[CH3],4
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3nc4ccccc4s3)ccc2c1,[cH2][c]([nH])-[c]1[n][c]2[cH][cH][cH][cH][c]2[s]1,Cc1nc(N2CCCC2)ncc1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,[cH2][c]([nH])-[c]1[cH][n][c]([N]2[CH2][CH2][CH2][CH2]2)[n][c]1[CH3],3
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3nc4ccccc4s3)ccc2c1,[cH3]-[c]1[n][c]2[cH][cH][cH][cH][c]2[s]1,Cc1nc(N2CCCC2)ncc1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,[cH3]-[c]1[cH][n][c]([N]2[CH2][CH2][CH2][CH2]2)[n][c]1[CH3],2
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3nc4ccccc4s3)ccc2c1,[cH]1[cH][cH][c]2[s][cH][n][c]2[cH]1,Cc1nc(N2CCCC2)ncc1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,[CH3][c]1[cH][cH][n][c]([N]2[CH2][CH2][CH2][CH2]2)[n]1,1
